mining_profitability90trx,activeaddresses90var,mining_profitability90mom,mining_profitability14var,top100cap30trx,median_transaction_feeUSD,mining_profitability,top100cap90roc,category
0.091,82659141,4974.0,736163.0,0.011,0.0474,7220.0,2.1830000000000003,0
0.104,93587018,5757.0,751741.0,0.014,0.0539,7990.0,2.1790000000000003,0
0.117,119931071,6575.0,1116414.0,0.017,0.06,8852.0,1.864,0
0.132,146568407,6518.0,1418707.0,0.02,0.0618,8777.0,2.302,0
0.147,164680970,7877.0,2082572.0,0.023,0.0643,9950.0,1.485,0
0.163,167334419,6611.0,2309302.0,0.026,0.0671,8923.0,1.171,0
0.179,174998891,6962.0,2274547.0,0.028,0.071,9411.0,0.72,0
0.196,206269076,8304.0,2134668.0,0.03,0.0818,10124.0,1.514,0
0.215,234652099,11242.0,3563293.0,0.032,0.0977,13352.0,1.699,0
0.235,291393310,10026.0,3928726.0,0.033,0.0892,12305.0,2.133,0
0.254,333892691,5145.0,4007207.0,0.035,0.0575,7092.0,4.169,0
0.273,349519493,4077.0,4044145.0,0.037000000000000005,0.0462,6360.0,3.92,0
0.29100000000000004,352764896,4304.0,4047471.0,0.04,0.0492,6595.0,4.43,0
0.307,348988094,3409.0,4461914.0,0.042,0.0459,5779.0,4.743,0
0.32299999999999995,362646540,3941.0,4882989.0,0.045,0.0436,5865.0,6.064,1
0.338,376075002,2563.0,5797867.0,0.048,0.0375,4937.0,6.7639999999999985,1
0.35100000000000003,393177207,3013.0,6559205.0,0.051,0.0389,5006.0,6.239,1
0.363,395243917,2400.0,7233185.0,0.054000000000000006,0.0473,4878.0,6.4060000000000015,0
0.375,408681050,3496.0,7067239.0,0.058,0.0534,6198.0,6.356,0
0.386,404579949,4565.0,6966124.0,0.061,0.0572,6887.0,6.916,0
0.397,399699859,4312.0,6715105.0,0.065,0.0571,6616.0,6.992000000000001,0
0.407,404096543,3277.0,6162104.0,0.068,0.0568,6062.0,6.765,0
0.416,406509962,4534.0,3073668.0,0.07200000000000001,0.0604,7056.0,6.499,0
0.426,418818970,4322.0,645980.0,0.075,0.0674,7469.0,6.013,0
0.435,420030836,5828.0,969112.0,0.077,0.0699,8539.0,6.126,0
0.444,420859043,3996.0,1028564.0,0.079,0.0665,7248.0,5.513,0
0.453,417250856,3524.0,1024992.0,0.081,0.0632,6431.0,4.096,0
0.461,440041848,4843.0,1124606.0,0.08199999999999999,0.062,7773.0,4.1960000000000015,0
0.469,440507768,3953.0,1127968.0,0.083,0.0653,7263.0,3.372,0
0.476,433132044,3167.0,923164.0,0.083,0.0672,6393.0,3.072,0
0.483,428660761,2620.0,718045.0,0.083,0.0623,6340.0,3.627,0
0.488,429260989,2339.0,603136.0,0.08199999999999999,0.0555,5352.0,3.857,0
0.493,427990879,1784.0,795285.0,0.08199999999999999,0.0513,5046.0,4.218,0
0.498,425670412,1683.0,871146.0,0.081,0.0525,5658.0,4.109,0
0.501,423207076,3132.0,881713.0,0.08,0.0567,6262.0,4.058,0
0.504,423257607,2261.0,955507.0,0.078,0.0565,5457.0,3.552,0
0.507,433680697,2584.0,1003721.0,0.077,0.0552,5568.0,3.712,0
0.509,440436171,1918.0,1003028.0,0.075,0.0548,5355.0,3.769,0
0.51,439093724,2034.0,664000.0,0.073,0.0542,5442.0,3.931,0
0.511,436740820,2281.0,569383.0,0.071,0.0553,5770.0,3.8,0
0.511,434064460,2177.0,555744.0,0.069,0.0563,5926.0,3.548,0
0.511,428795734,1665.0,332926.0,0.066,0.112,5199.0,3.362,0
0.51,423585176,1591.0,181806.0,0.064,0.0561,5179.0,2.94,0
0.509,418962654,439.607,193025.0,0.061,0.0543,4670.0,3.018,0
0.507,413425692,1012.0,190434.0,0.059,0.0523,4587.0,3.227,0
0.504,406754076,582.264,201553.0,0.056,0.0535,4982.0,3.915,0
0.502,397311726,1037.0,195388.0,0.054000000000000006,0.0552,5231.0,3.757,0
0.499,387348472,1143.0,190859.0,0.051,0.0564,5206.0,4.802,0
0.495,379370421,1601.0,133946.0,0.049,0.0565,4934.0,4.743,0
0.491,371181791,833.778,150104.0,0.047,0.0566,4693.0,4.735,0
0.487,363621203,1105.0,153720.0,0.045,0.0576,5631.0,3.807,0
0.483,355578998,1433.0,151908.0,0.043,0.0583,5211.0,4.058,0
0.479,349664944,1582.0,171947.0,0.041,0.0593,5784.0,3.639,0
0.474,342077868,1674.0,159746.0,0.039,0.0623,5588.0,4.044,0
0.47,335133825,1808.0,133525.0,0.037000000000000005,0.0639,5608.0,3.404,0
0.465,330603949,815.627,134670.0,0.034,0.0644,5311.0,3.588,0
0.46,326371322,1510.0,139237.0,0.032,0.0642,5450.0,3.783,0
0.455,320014904,984.604,117180.0,0.03,0.0629,5226.0,3.855,0
0.45,315772932,1210.0,83960.0,0.028,0.0632,5342.0,3.533,0
0.445,312764866,1451.0,80107.0,0.026,0.0636,5567.0,3.709,0
0.44,302582679,1291.0,84342.0,0.023,0.0632,5071.0,3.161,0
0.435,291399038,1855.0,101422.0,0.021,0.0647,5865.0,2.758,0
0.429,285777890,885.383,103600.0,0.019,0.0621,4901.0,2.518,0
0.424,279871426,1445.0,71041.0,0.016,0.0602,5209.0,2.411,1
0.418,278450603,482.219,71688.0,0.014,0.0598,5139.0,2.033,1
0.413,276198497,-996.03,192965.0,0.011,0.06,4025.0,2.479,1
0.406,270275726,-975.461,309113.0,0.009000000000000001,0.0597,3829.0,1.599,1
0.4,262777881,-1440.0,421739.0,0.006999999999999999,0.0575,3733.0,1.5419999999999998,1
0.393,262115233,-1435.0,481342.0,0.004,0.0553,3834.0,2.257,1
0.385,260326345,-1697.0,666058.0,0.002,0.053,3133.0,2.427,1
0.378,259757945,-1871.0,743355.0,0.0,0.052000000000000005,3358.0,2.3080000000000003,1
0.37,258451692,-1346.0,759852.0,-0.001,0.0533,3690.0,2.055,1
0.361,257339217,-1265.0,738130.0,-0.003,0.054000000000000006,3678.0,2.489,1
0.353,256299205,-1245.0,696135.0,-0.004,0.0535,3238.0,2.899,1
0.344,246257426,-1348.0,671638.0,-0.005,0.0514,3401.0,3.053,1
0.336,245063182,-1765.0,463508.0,-0.006,0.0501,3173.0,3.149,1
0.326,251292333,-1456.0,409271.0,-0.006,0.0502,3180.0,3.498,1
0.317,256209548,-2532.0,362643.0,-0.006999999999999999,0.0504,2330.0,3.626,1
0.307,255920095,-4318.0,221291.0,-0.006999999999999999,0.0518,2545.0,3.2510000000000003,1
0.297,256075458,-3714.0,196040.0,-0.006999999999999999,0.0526,2969.0,3.588,1
0.287,257719638,-4064.0,182232.0,-0.006999999999999999,0.0529,2897.0,3.665,1
0.277,257094165,-3687.0,165635.0,-0.006,0.053,2966.0,3.819,1
0.267,261164399,-2390.0,141726.0,-0.006,0.0518,2732.0,3.4360000000000004,1
0.256,268091929,-2325.0,163734.0,-0.005,0.0508,2511.0,3.267,1
0.246,270289365,-2912.0,171807.0,-0.005,0.0492,2541.0,2.502,1
0.235,273801164,-3197.0,142213.0,-0.004,0.0486,2585.0,1.829,1
0.224,274458741,-4874.0,102500.0,-0.004,0.049,2560.0,1.743,1
0.214,278561338,-3819.0,91301.0,-0.003,0.0483,2646.0,1.12,1
0.203,280016396,-4231.0,71332.0,-0.003,0.0461,2374.0,0.731,1
0.192,281297689,-4680.0,65154.0,-0.002,0.0446,2292.0,1.507,1
0.181,290795350,-5247.0,70740.0,-0.001,0.0449,1973.0,0.927,1
0.16899999999999998,290535731,-5957.0,86577.0,0.0,0.0428,2033.0,0.934,1
0.158,284569764,-6923.0,111717.0,0.001,0.0416,1929.0,1.32,1
0.147,276444540,-6670.0,103299.0,0.002,0.0407,2107.0,1.359,1
0.135,274721710,-8206.0,115999.0,0.004,0.0392,1745.0,2.594,1
0.124,277898057,-7094.0,102755.0,0.005,0.0365,1830.0,3.004,1
0.112,281984747,-7769.0,110441.0,0.006999999999999999,0.033,1642.0,3.93,1
0.1,276103992,-8552.0,126822.0,0.01,0.0349,1573.0,4.297,1
0.08900000000000001,264236977,-11567.0,120428.0,0.012,0.0368,1785.0,4.4510000000000005,1
0.077,228321482,-10651.0,110296.0,0.015,0.0362,1654.0,4.239,1
0.065,202564125,-5200.0,87437.0,0.018000000000000002,0.038,1892.0,1.908,1
0.053,193800873,-4874.0,63395.0,0.02,0.0407,1485.0,2.275,1
0.041,193216789,-5146.0,54779.0,0.023,0.0425,1449.0,1.83,1
0.03,194564654,-3950.0,37375.0,0.026,0.044,1830.0,1.33,1
0.018000000000000002,194474711,-4134.0,34610.0,0.028,0.0441,1731.0,-0.127,1
0.006,188052348,-3239.0,29141.0,0.03,0.0446,1698.0,-0.957,1
-0.005,177280873,-3313.0,26439.0,0.031,0.045,1693.0,-0.517,1
-0.017,177465949,-2976.0,17968.0,0.032,0.0444,1902.0,-0.379,1
-0.028,166831268,-4655.0,19601.0,0.034,0.0432,1543.0,1.175,1
-0.039,168828026,-5244.0,18273.0,0.035,0.0419,1643.0,0.018000000000000002,1
-0.051,173106297,-4972.0,18263.0,0.036000000000000004,0.0419,1644.0,-0.01,1
-0.062,173476846,-4331.0,17496.0,0.037000000000000005,0.0419,1731.0,0.047,1
-0.073,169588673,-5719.0,24831.0,0.039,0.0421,1337.0,0.092,1
-0.084,159059526,-6213.0,35628.0,0.04,0.0426,1256.0,0.83,1
-0.095,154828499,-6987.0,30609.0,0.04,0.0432,1552.0,0.593,1
-0.106,152239940,-5886.0,33778.0,0.041,0.0439,1361.0,0.422,1
-0.117,152124227,-4980.0,33738.0,0.042,0.0446,1451.0,1.5319999999999998,1
-0.128,129743895,-6224.0,29671.0,0.042,0.0443,1549.0,1.536,1
-0.138,130694253,-5937.0,31709.0,0.043,0.0442,1326.0,2.218,1
-0.149,130011514,-4791.0,30287.0,0.043,0.0456,1602.0,2.512,1
-0.159,127589531,-4745.0,28808.0,0.043,0.0465,1595.0,2.326,1
-0.16899999999999998,127288042,-3823.0,18479.0,0.044,0.048,1529.0,2.613,1
-0.18,148030716,-3606.0,18679.0,0.045,0.0479,1440.0,2.154,1
-0.19,148377471,-4046.0,18104.0,0.045,0.0477,1611.0,2.336,1
-0.2,149089285,-4990.0,19572.0,0.046,0.0477,1272.0,2.091,1
-0.209,146941600,-4106.0,15106.0,0.046,0.0473,1351.0,2.4530000000000003,1
-0.219,128867352,-4285.0,16138.0,0.046,0.0477,1283.0,2.143,1
-0.229,115931282,-3991.0,14053.0,0.046,0.0484,1365.0,2.143,1
-0.238,114417303,-4143.0,14582.0,0.046,0.0487,1299.0,2.273,1
-0.248,111620948,-4381.0,14362.0,0.046,0.048,1388.0,2.772,1
-0.257,109778360,-4748.0,18605.0,0.046,0.0471,1178.0,2.7710000000000004,1
-0.266,110483844,-3858.0,17441.0,0.046,0.0467,1341.0,2.535,1
-0.276,109754775,-3911.0,18265.0,0.045,0.0465,1268.0,3.168,1
-0.285,121244582,-3436.0,16323.0,0.045,0.047,1234.0,4.2410000000000005,1
-0.294,118520994,-3456.0,15557.0,0.046,0.0475,1132.0,4.524,1
-0.303,116677373,-4036.0,21935.0,0.046,0.0481,946.112,3.659,1
-0.312,116083361,-4242.0,25968.0,0.046,0.0485,989.582,3.389,1
-0.32,118658361,-4252.0,21748.0,0.047,0.0483,954.078,2.978,1
-0.329,118939747,-3940.0,24558.0,0.047,0.0484,994.908,2.317,1
-0.338,119759342,-3707.0,25239.0,0.047,0.0485,986.18,2.231,1
-0.34700000000000003,118558078,-4685.0,27262.0,0.046,0.049,946.13,2.423,1
-0.355,119700441,-4171.0,24035.0,0.045,0.0506,1040.0,1.52,1
-0.364,119493038,-4758.0,22051.0,0.044,0.0526,1026.0,1.3530000000000002,1
-0.3720000000000001,119080199,-4449.0,15961.0,0.043,0.0536,1139.0,1.223,1
-0.38,121410625,-4641.0,16077.0,0.041,0.0531,967.278,1.722,1
-0.389,121436547,-4392.0,11472.0,0.039,0.0529,918.683,1.643,1
-0.397,120944129,-4658.0,10925.0,0.036000000000000004,0.0538,791.645,1.381,1
-0.405,120854675,-4363.0,7883.0,0.034,0.0543,863.041,1.197,1
-0.413,127456908,-4472.0,6681.0,0.031,0.0559,870.538,1.1840000000000002,1
-0.421,129177327,-4592.0,6682.0,0.028,0.0576,975.111,1.216,1
-0.429,129074039,-4188.0,7013.0,0.024,0.0579,882.6110000000001,0.762,1
-0.4370000000000001,134511154,-4919.0,7017.0,0.021,0.0592,945.862,0.727,1
-0.444,139108494,-3894.0,7100.0,0.017,0.061,1007.0,0.596,1
-0.452,138754752,-4290.0,7093.0,0.013,0.0623,919.016,0.716,1
-0.46,137629875,-4200.0,7100.0,0.009000000000000001,0.0628,938.406,0.601,1
-0.467,136463435,-3064.0,6490.0,0.005,0.0624,961.409,0.123,1
-0.474,137081188,-3170.0,11112.0,0.001,0.0604,658.4939999999998,0.6970000000000001,1
-0.482,136730478,-3010.0,9376.0,-0.003,0.0587,723.439,0.091,1
-0.489,136170886,-3157.0,11639.0,-0.008,0.0575,677.4060000000002,-0.106,1
-0.496,135110707,-2539.0,16240.0,-0.012,0.0575,593.3380000000002,-0.552,1
-0.504,135990539,-2667.0,17654.0,-0.016,0.0583,691.0980000000002,-0.509,1
-0.511,136437031,-2931.0,17977.0,-0.02,0.0589,758.6460000000002,-1.142,1
-0.518,136368789,-2993.0,19139.0,-0.024,0.06,685.7280000000002,-1.557,1
-0.525,136880353,-2501.0,17477.0,-0.028,0.0609,736.4860000000001,-1.776,1
-0.532,137122389,-2676.0,17232.0,-0.032,0.0618,724.8580000000002,-2.081,1
-0.539,134942623,-2462.0,15565.0,-0.037000000000000005,0.062,711.428,-2.274,1
-0.546,133004207,-2445.0,11273.0,-0.041,0.062,735.547,-2.474,1
-0.552,133571165,-1828.0,12818.0,-0.045,0.0618,501.532,-2.643,1
-0.5589999999999999,133384853,-2049.0,12085.0,-0.049,0.0619,495.68,-2.954,1
-0.5660000000000001,133646797,-2338.0,6496.0,-0.053,0.0621,631.594,-3.122,1
-0.573,134972422,-2287.0,6706.0,-0.057,0.0625,609.765,-3.232,1
-0.579,136270959,-2410.0,7109.0,-0.06,0.0613,556.1569999999998,-2.633,1
-0.586,136024986,-2164.0,7484.0,-0.063,0.0605,568.055,-2.466,1
-0.5920000000000001,133032634,-1973.0,8081.0,-0.066,0.0606,537.864,-2.652,1
-0.599,133159436,-1992.0,8363.0,-0.069,0.0608,548.75,-3.47,1
-0.605,134082508,-2049.0,7515.0,-0.07200000000000001,0.0606,536.288,-3.035,1
-0.612,134894674,-2013.0,7350.0,-0.07400000000000001,0.0607,546.616,-3.3510000000000004,1
-0.618,135134194,-2164.0,6782.0,-0.077,0.0611,482.513,-3.657,1
-0.625,136006219,-2014.0,8298.0,-0.079,0.0613,360.376,-3.587,1
-0.631,136043460,-1858.0,7359.0,-0.081,0.0612,433.501,-3.614,1
-0.637,131975422,-1533.0,4851.0,-0.083,0.0616,439.799,-3.662,1
-0.643,131989221,-1628.0,5688.0,-0.084,0.0617,405.264,-3.747,1
-0.65,132874573,-1512.0,6273.0,-0.085,0.0615,416.742,-3.934,1
-0.6559999999999999,137005514,-1682.0,5379.0,-0.086,0.0617,424.534,-3.823,1
-0.662,149803393,-1333.0,4607.0,-0.087,0.0564,411.47,-3.307,1
-0.6679999999999999,152785589,-1466.0,4863.0,-0.086,0.0543,364.0,-2.74,1
-0.674,150903820,-1264.0,4390.0,-0.085,0.0585,378.408,-3.375,1
-0.68,145617151,-1124.0,3786.0,-0.084,0.0597,448.869,-3.266,1
-0.6859999999999999,146021261,-1462.0,3745.0,-0.08199999999999999,0.0597,323.004,-3.708,1
-0.6920000000000001,146173292,-1340.0,3543.0,-0.08,0.0602,313.529,-3.794,1
-0.698,145909135,-1564.0,2462.0,-0.077,0.0608,328.3230000000001,-3.677,1
-0.7040000000000001,146557022,-1160.0,2132.0,-0.075,0.0614,325.842,-3.995,1
-0.71,146927685,-1102.0,2187.0,-0.07200000000000001,0.0618,347.472,-3.609,1
-0.716,146779219,-1500.0,2152.0,-0.069,0.0619,329.505,-2.7060000000000004,1
-0.722,140850388,-1365.0,1836.0,-0.066,0.0621,365.899,-2.35,1
-0.728,142366547,-1366.0,1825.0,-0.063,0.0634,331.88199999999995,-2.112,1
-0.7340000000000001,143025651,-1332.0,1619.0,-0.06,0.0651,361.001,-2.117,1
-0.7390000000000001,143805570,-1533.0,1319.0,-0.057,0.0674,368.842,-2.509,1
-0.745,147275304,-1266.0,1475.0,-0.054000000000000006,0.0681,276.728,-4.24,1
-0.7509999999999999,145649950,-1399.0,2141.0,-0.051,0.0694,244.259,-3.783,1
-0.7559999999999999,142339801,-1347.0,2122.0,-0.048,0.0431,296.782,-3.1660000000000004,1
-0.762,140294325,-1428.0,1119.0,-0.045,0.0769,302.903,-3.062,1
-0.767,138110646,-1051.0,1210.0,-0.042,0.0787,285.4190000000001,-3.196,1
-0.773,142212451,-941.216,1209.0,-0.039,0.0824,315.108,-3.44,1
-0.778,154523348,-1196.0,1292.0,-0.037000000000000005,0.0902,355.89,-3.952,1
-0.784,165354834,-998.376,1404.0,-0.035,0.0957,363.024,-3.977,1
-0.789,177924408,-1101.0,1412.0,-0.033,0.0198,349.796,-4.061,1
-0.794,177959077,-1224.0,1411.0,-0.03,0.0181,325.28,0.975,1
-0.799,169479896,-1128.0,2299.0,-0.026,0.0173,197.291,1.176,1
-0.805,169998578,-1363.0,2609.0,-0.021,0.0178,239.458,0.732,1
-0.81,170391094,-1361.0,2678.0,-0.016,0.0188,233.954,0.462,1
-0.815,170987418,-1284.0,2417.0,-0.01,0.0193,245.587,-0.119,1
-0.82,159602007,-1169.0,2430.0,-0.004,0.0196,270.194,0.428,1
-0.825,163844464,-1352.0,2350.0,0.003,0.0391,259.781,0.469,1
-0.83,161635042,-1002.0,2368.0,0.009000000000000001,0.0198,269.423,1.021,1
-0.835,158231211,-1108.0,2466.0,0.015,0.02,243.077,0.955,1
-0.84,158308337,-1028.0,2515.0,0.022,0.0203,254.811,1.491,1
-0.845,163423893,-1092.0,2422.0,0.029,0.0214,273.107,3.657,1
-0.85,180407834,-1023.0,1948.0,0.036000000000000004,0.0231,276.38,3.819,1
-0.855,210311952,-1138.0,1316.0,0.044,0.0248,250.637,3.932,1
-0.8590000000000001,236340374,-926.324,745.2510000000002,0.052000000000000005,0.0274,251.43400000000003,4.226,1
-0.8640000000000001,259326019,-1049.0,493.312,0.06,0.0298,292.331,4.565,1
-0.8690000000000001,277174754,-906.047,952.255,0.067,0.0335,361.736,3.916,1
-0.873,285763951,-925.817,1009.0,0.075,0.0292,308.6,2.842,1
-0.878,298110124,-822.395,987.885,0.083,0.0314,309.128,2.283,1
-0.882,310593218,-599.567,1223.0,0.09,0.0337,346.545,2.553,1
-0.8859999999999999,327707887,-668.1469999999998,1301.0,0.096,0.0369,321.435,2.677,1
-0.8909999999999999,355268198,-533.809,2384.0,0.102,0.0401,420.269,3.134,1
-0.895,363703253,-585.9540000000002,3096.0,0.108,0.0412,408.954,3.716,1
-0.899,359487916,-569.616,3472.0,0.113,0.0418,416.564,3.85,1
-0.902,364616075,-537.1030000000002,3594.0,0.117,0.0453,409.028,3.899,1
-0.906,433258973,-616.377,3831.0,0.121,0.0551,423.357,4.584,1
-0.91,594980380,-501.99300000000005,5544.0,0.124,0.0602,523.5219999999998,5.13,1
-0.913,661219369,-729.242,4734.0,0.128,0.0495,410.164,5.044,1
-0.917,770760124,-484.82,4306.0,0.13,0.06,482.458,5.4529999999999985,1
-0.92,825818066,-321.741,6291.0,0.133,0.0675,596.942,9.126,0
-0.923,859380659,-184.613,8594.0,0.136,0.0787,607.0319999999998,7.471,0
-0.926,868171435,-278.402,8962.0,0.139,0.0703,584.639,7.607,0
-0.928,896275064,-276.329,8731.0,0.141,0.0723,594.2090000000002,7.624,0
-0.931,977514907,-374.383,8624.0,0.14400000000000002,0.0797,600.7280000000002,7.162000000000001,0
-0.933,1094666704,-80.821,12659.0,0.145,0.0891,801.79,7.608,0
-0.935,1219130426,-157.769,16393.0,0.146,0.0935,788.0930000000002,8.005,0
-0.937,1313162263,-274.775,16989.0,0.147,0.0982,732.457,7.303,0
-0.938,1341966885,-94.091,19136.0,0.147,0.105,824.924,7.207999999999998,0
-0.939,1376540016,-287.269,16470.0,0.147,0.0916,651.137,7.515,0
-0.94,1433940911,-372.994,13739.0,0.146,0.0918,588.415,7.342,0
-0.941,1485177398,126.74,14390.0,0.14400000000000002,0.0985,785.2330000000002,7.08,0
-0.942,1546832587,-40.729,10123.0,0.142,0.104,682.71,7.69,0
-0.943,1606959621,28.105,7582.0,0.14,0.0991,705.512,7.436,0
-0.943,1632059909,120.906,7074.0,0.138,0.0916,714.245,8.235,0
-0.943,1626043266,-191.848,9123.0,0.135,0.0721,499.25,8.263,0
-0.944,1614291847,-209.476,9702.0,0.132,0.0734,549.1709999999998,8.902999999999997,0
-0.944,1624664837,-142.24200000000005,10493.0,0.129,0.0856,543.486,8.931000000000003,0
-0.944,1634748354,-141.89,10562.0,0.127,0.0917,594.596,10.349,0
-0.944,1643487701,-238.245,11477.0,0.125,0.0888,486.61300000000006,11.446,0
-0.943,1626531852,-250.622,12278.0,0.123,0.0854,460.807,11.83,0
-0.943,1603211818,-239.294,12518.0,0.121,0.087,496.253,12.236,0
-0.943,1580369841,15.375,9487.0,0.12,0.0855,516.908,11.983,0
-0.943,1567903204,-70.688,10937.0,0.119,0.0835,424.992,12.265999999999998,0
-0.942,1593460678,-164.87,11684.0,0.117,0.0774,466.724,12.228,0
-0.942,1599787816,-233.55900000000003,9980.0,0.116,0.0673,376.206,12.384,0
-0.942,1631066506,-256.47700000000003,11736.0,0.115,0.0555,299.68,11.674,1
-0.941,1631084039,-216.575,10141.0,0.114,0.0616,351.48,11.613,0
-0.941,1614841630,-222.973,7601.0,0.113,0.0664,314.891,11.56,0
-0.941,1581243593,-262.068,9279.0,0.111,0.0614,286.682,12.086,0
-0.941,1564336365,-254.73,9878.0,0.11,0.0635,281.558,11.657,0
-0.941,1556100616,-266.583,9890.0,0.108,0.065,280.033,11.792,0
-0.94,1536878342,-199.105,7781.0,0.106,0.0671,283.407,12.186,0
-0.94,1516625174,-83.553,7519.0,0.104,0.0737,276.822,10.015,0
-0.94,1494966539,-104.247,6875.0,0.101,0.073,329.254,9.799,0
-0.94,1462839557,-112.733,5385.0,0.097,0.0753,327.066,9.762,0
-0.94,1433325153,-123.828,3245.0,0.094,0.0738,281.436,9.507,0
-0.94,1412668539,-83.645,2521.0,0.09,0.073,333.098,9.397,0
-0.94,1408073199,-107.269,882.6339999999999,0.086,0.0761,317.265,9.481,0
-0.94,1404341421,-81.811,585.563,0.081,0.0757,329.658,8.267000000000001,0
-0.94,1399479819,-15.012,698.1089999999998,0.077,0.0771,348.987,5.999,0
-0.94,1376004241,-155.219,1032.0,0.07200000000000001,0.078,223.189,6.167999999999998,0
-0.94,1338571267,-143.701,1019.0,0.067,0.0794,305.1670000000001,6.167000000000002,0
-0.94,1291609075,-50.032,1058.0,0.062,0.0835,272.972,6.662000000000001,0
-0.94,1263561143,45.414,1259.0,0.057,0.0878,358.9430000000001,6.43,0
-0.94,1261553288,11.005999999999998,1282.0,0.052000000000000005,0.0962,339.329,6.655,0
-0.94,1235831044,-16.82,1232.0,0.047,0.0915,309.022,6.921,0
-0.94,1211923768,-37.798,1144.0,0.042,0.0848,309.6740000000001,6.609,0
-0.939,1183150733,1.4240000000000002,1148.0,0.038,0.085,330.9290000000001,6.1179999999999986,0
-0.939,1137173499,-89.228,1217.0,0.033,0.0846,276.671,6.011,0
-0.939,1115364299,-2.9410000000000003,1175.0,0.029,0.0899,328.941,5.932,0
-0.939,1090279579,-25.871,1181.0,0.024,0.0894,335.13,6.05,0
-0.939,1069413909,-163.79399999999995,1952.0,0.02,0.0837,205.048,6.0520000000000005,0
-0.939,1051410235,-38.053,2184.0,0.016,0.0844,238.674,6.127000000000002,0
